Molecule ChEMBL ID,Smiles,pIC50,BCUTs-1l,Xch-7d,BCUTd-1h,Xch-6d,BCUTc-1l,Xc-5d,SlogP_VSA2,BCUTi-1l,Xch-6dv,BCUTc-1h,BCUTse-1l,BCUTd-1l,Xc-3d,pIC50_binary
D1690,c1ccc(c(c1)C[C@H](CC(=O)N1[C@@H](CCC1)CNC(=O)c1ccccc1)[NH3+])F,7.046,1.2342641080040897,0.424376455238885,3.1785708628184857,0.3367701210266095,-0.4107027110821319,0.3999686870044306,41.88746365967456,10.9541106103373,0.1700460616283111,0.7042784604140355,2.438767215301952,0.9772375249432446,1.631864679269315,0
D3017,c1ccc2c(c1)CN(C2)C(=O)[C@H](CCCCNC(=O)OCc1ccccc1)N,3.611,1.2531244498814331,0.500555471786241,3.1830039240781143,0.3770337249928089,-0.4732477354285668,0.3156411416862253,29.48692676620093,10.94945521137918,0.1523533648882946,0.496469432670526,2.4351552113791657,0.9772287988328175,1.4209516299521356,0
D2663,s1c(c2sc(cc2)CO)ccc1c1sccc1,5.475,0.602138541388701,0.5772558306242922,3.156673140848112,0.3707908118985981,-0.3228069021160132,0.1666666666666666,5.106527394840706,10.307293761974256,0.2841874576715308,0.3621002472506652,2.472723671936852,0.987983753371398,0.8707908118985981,0
D2525,c1(nc2c(c(=O)n1c1c(cc(cc1C)C)C)cnn2c1ccccc1)C,5.879,1.396942218950635,0.7489665198838099,3.3127114568250526,0.3821310421892611,-0.424756064287326,0.5946092403294383,19.331562912184783,10.941677318165848,0.1071858062351518,0.4856217540900736,2.424794888742645,0.9778110789594108,1.985369184863988,0
D0421,c1c(ccc(c1)[C@@H]([C@@H](C(=O)N1C[C@H](CC1)F)[NH3+])C(=O)N(C)C)c1ccc2n(c1)ncn2,8.398,1.1924394777754752,0.5730639259798949,3.215021907320564,0.5039338936857123,-0.4198383371282468,0.7503085277480631,75.61061014510561,10.941786254585445,0.1592554160492532,0.7196738469259691,2.4258671478116387,0.977243733005366,2.310469848228883,1
D1850,S(=O)(=O)(N[C@@H]1C[C@@H]([C@@H](C(=O)N2CCCC2)[NH3+])CC1)c1ccc(S(=O)(=O)C)cc1,6.886,0.2962452397494586,0.4118834700081674,4.0450946067118485,0.3180413817439771,-0.4048848835991937,1.0850356152625436,59.07164708249233,10.309633658816296,0.2106464240581286,0.7175542168837215,2.4389151131318094,0.9675503884859044,3.627535012056217,0
D0400,c1(c(cc2c(c1)CC[C@@H]2[C@@H]([NH3+])CC(=O)N1CC(=O)Nc2c(C1)ccc(c2)F)F)F,8.42,1.1809948625333375,0.6861066011244645,3.2205890572994407,0.3152352563430426,-0.4015032839712335,0.5876731123622283,29.300866424614025,10.948134695574616,0.1698895945495677,0.7046929257504874,2.4322797461166963,0.9772070546221364,2.4589915044142643,1
D0498,n1(cnc2c(c1=O)n(c(c2C#N)N1C[C@H](CCC1)[NH3+])CC#CC)Cc1nccc2c1cccc2,8.301,1.233113824634167,1.0368636460587826,3.340268616439015,0.5004204415282278,-0.4421938030475668,0.5890126340245672,38.23350997845024,10.925992892228695,0.1981102418516067,0.7053682825319086,2.4080199872351087,0.911331741820282,1.9143451671653944,1
D2856,[NH3+][C@H](C(=O)N1CCCC1)CC(C)C,4.62,1.225789446708942,0.1314458557658021,3.1609355715185576,0.0833333333333333,-0.404862638191375,0.2323078083528919,29.938443101175096,11.061931483116298,0.0559016994374947,0.7170111438257953,2.543432431471469,0.9778620905010236,1.0030673072559209,0
D1651,c1cc(c(cc1F)C[C@H]([C@H]1CC[C@@H](CC1)N(C)S(=O)(=O)c1ccc(cc1)C(=O)N)[NH3+])F,7.076,0.2975872746577446,0.3701995198844963,4.048527524070854,0.2347080484106438,-0.3771487639619444,1.155823250756131,37.76154634594979,10.319763357573072,0.1351673723273455,0.7035878710885886,2.436290649647651,0.970636307971068,2.981767491872877,0
